frame,tx,ty,tz
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,-0.0141643,-0.265787,-0.963928
15,-0.0298992,-0.559872,-1.86261
16,-0.0251303,-0.564516,-1.86527
17,-0.0251303,-0.564516,-1.86527
18,-0.0251303,-0.564516,-1.86527
19,-0.0251303,-0.564516,-1.86527
20,-0.0251303,-0.564516,-1.86527
21,-0.0251303,-0.564516,-1.86527
22,-0.0251303,-0.564516,-1.86527
23,-0.0251303,-0.564516,-1.86527
24,-0.0251303,-0.564516,-1.86527
25,-0.0251303,-0.564516,-1.86527
26,-0.0251303,-0.564516,-1.86527
27,-0.0251303,-0.564516,-1.86527
28,-0.0251303,-0.564516,-1.86527
29,-0.0251303,-0.564516,-1.86527
30,-0.0251303,-0.564516,-1.86527
31,-0.0251303,-0.564516,-1.86527
32,-0.0251303,-0.564516,-1.86527
33,-0.0251303,-0.564516,-1.86527
34,-0.0251303,-0.564516,-1.86527
35,-0.0251303,-0.564516,-1.86527
36,-0.0251303,-0.564516,-1.86527
37,-0.0251303,-0.564516,-1.86527
38,-0.0251303,-0.564516,-1.86527
39,-0.0251303,-0.564516,-1.86527
40,-0.0251303,-0.564516,-1.86527
41,-0.0251303,-0.564516,-1.86527
42,-0.0251303,-0.564516,-1.86527
43,-0.0251303,-0.564516,-1.86527
44,-0.0251303,-0.564516,-1.86527
45,-0.0251303,-0.564516,-1.86527
46,-0.0251303,-0.564516,-1.86527
47,-0.0251303,-0.564516,-1.86527
48,-0.0251303,-0.564516,-1.86527
49,-0.0251303,-0.564516,-1.86527
50,-0.0251303,-0.564516,-1.86527
51,-0.0251303,-0.564516,-1.86527
52,-0.0251303,-0.564516,-1.86527
53,-0.0251303,-0.564516,-1.86527
54,-0.0251303,-0.564516,-1.86527
55,-0.0251303,-0.564516,-1.86527
56,-0.0251303,-0.564516,-1.86527
57,-0.0251303,-0.564516,-1.86527
58,-0.0251303,-0.564516,-1.86527
59,-0.0251303,-0.564516,-1.86527
60,-0.0251303,-0.564516,-1.86527
61,-0.0251303,-0.564516,-1.86527
62,-0.0251303,-0.564516,-1.86527
63,-0.0251303,-0.564516,-1.86527
64,-0.0251303,-0.564516,-1.86527
65,-0.0251303,-0.564516,-1.86527
66,-0.0251303,-0.564516,-1.86527
67,-0.0251303,-0.564516,-1.86527
68,-0.0251303,-0.564516,-1.86527
69,-0.0251303,-0.564516,-1.86527
70,-0.0251303,-0.564516,-1.86527
71,-0.0251303,-0.564516,-1.86527
72,-0.0251303,-0.564516,-1.86527
73,-0.0251303,-0.564516,-1.86527
74,-0.0251303,-0.564516,-1.86527
75,-0.0251303,-0.564516,-1.86527
76,-0.0251303,-0.564516,-1.86527
77,-0.0251303,-0.564516,-1.86527
78,-0.0251303,-0.564516,-1.86527
79,-0.0251303,-0.564516,-1.86527
80,-0.0251303,-0.564516,-1.86527
81,-0.0251303,-0.564516,-1.86527
82,-0.0251303,-0.564516,-1.86527
83,-0.0251303,-0.564516,-1.86527
84,-0.0251303,-0.564516,-1.86527
85,-0.0251303,-0.564516,-1.86527
86,-0.0251303,-0.564516,-1.86527
87,-0.0251303,-0.564516,-1.86527
88,-0.0251303,-0.564516,-1.86527
89,-0.0251303,-0.564516,-1.86527
90,-0.0251303,-0.564516,-1.86527
91,-0.0251303,-0.564516,-1.86527
92,-0.0251303,-0.564516,-1.86527
93,-0.0251303,-0.564516,-1.86527
94,-0.0251303,-0.564516,-1.86527
95,-0.0251303,-0.564516,-1.86527
96,-0.0251303,-0.564516,-1.86527
